금리,,,,,,,환율,,,물가상승률,,
항목,중앙은행 정책 금리(%),할인율(%),시중 금리(%),예금금리(%),대출금리(%),정부채(%),USD 비율(자국화폐/US$ 기말),,,Year,Inflation Rate (%),Annual Change
1980. 03 월,,21,24.6,,,32.6,586.100 (Won/US$),,,,,
1980. 04 월,,21,24.6,,,31,590.500 (Won/US$),,,,,
1980. 05 월,,21,24.8,,,30.5,596.200 (Won/US$),,,,,
1980. 06 월,,20,24,,,30.3,603.000 (Won/US$),,,,,
1980. 07 월,,20,23.1,,,29.4,612.700 (Won/US$),,,,,
1980. 08 월,,20,23.9,,,27.9,616.300 (Won/US$),,,,,
1980. 09 월,,18,22.2,,,26.5,625.000 (Won/US$),,,,,
1980. 10 월,,18,21.8,,,26.1,651.600 (Won/US$),,,,,
1980. 11 월,,16,19.3,,,25.9,658.800 (Won/US$),,,,,
1980. 12 월,,16,19.3,,,26.5,659.900 (Won/US$),,,,,
1981. 01 월,,16,17.3,,,26.1,665.700 (Won/US$),,,,,
1981. 02 월,,16,18.6,,,24.7,670.500 (Won/US$),,,,,
1981. 03 월,,16,17.4,,,23.7,672.800 (Won/US$),,,,,
1981. 04 월,,16,17,,,22.7,678.900 (Won/US$),,,,,
1981. 05 월,,16,19,,,22.1,683.800 (Won/US$),,,,,
1981. 06 월,,16,19.4,,,21.8,685.100 (Won/US$),,,,,
1981. 07 월,,16,17.4,,,21.6,686.900 (Won/US$),,,,,
1981. 08 월,,16,19.3,,,21.2,685.500 (Won/US$),,,,,
1981. 09 월,,16,19.2,,,22.7,685.500 (Won/US$),,,,,
1981. 10 월,,16,18.5,,,25.6,678.200 (Won/US$),,,,,
1981. 11 월,,13,17.6,,,26,689.900 (Won/US$),,,,,
1981. 12 월,,11,17,,,25.2,700.500 (Won/US$),,,,,
1982. 01 월,,5,16,,,21.3,708.300 (Won/US$),,,,,
1982. 02 월,,5,15.6,,,20.4,712.000 (Won/US$),,,,,
1982. 03 월,,5.5,14.9,,,19.3,718.300 (Won/US$),,,,,
1982. 04 월,,5.5,14.6,,,18.3,721.300 (Won/US$),,,,,
1982. 05 월,,5,13,,,16.7,733.100 (Won/US$),,,,,
